"","web_scraped_team","aflfant","match_round","season","player_team","player_name"
"1","Demons",132,"1",2020,"Melbourne","Jack Viney"
"2","Bombers",122,"1",2020,"Essendon","Dylan Shiel"
"3","Kangaroos",117,"1",2020,"North Melbourne","Ben Cunnington"
"4","Eagles",116,"1",2020,"West Coast","Luke Shuey"
"5","Magpies",114,"1",2020,"Collingwood","Brodie Grundy"
"6","Swans",113,"1",2020,"Sydney","Luke Parker"
"7","Magpies",110,"1",2020,"Collingwood","Jeremy Howe"
"8","Lions",108,"1",2020,"Brisbane Lions","Lachie Neale"
"9","Magpies",107,"1",2020,"Collingwood","Steele Sidebottom"
"10","Eagles",107,"1",2020,"West Coast","Andrew Gaff"
"11","Magpies",105,"1",2020,"Collingwood","Taylor Adams"
"12","Demons",102,"1",2020,"Melbourne","Ed Langdon"
"13","Swans",101,"1",2020,"Sydney","Isaac Heeney"
"14","Power",101,"1",2020,"Port Adelaide","Brad Ebert"
"15","Hawks",100,"1",2020,"Hawthorn","Chad Wingard"
"16","Saints",100,"1",2020,"St Kilda","Luke Dunstan"
"17","Bombers",100,"1",2020,"Essendon","Adam Saad"
"18","Swans",98,"1",2020,"Sydney","Josh P. Kennedy"
"19","Lions",98,"1",2020,"Brisbane Lions","Jarryd Lyons"
"20","Hawks",97,"1",2020,"Hawthorn","Liam Shiels"
"21","Saints",96,"1",2020,"St Kilda","Zak Jones"
"22","Blues",95,"1",2020,"Carlton","Sam Docherty"
"23","Bulldogs",95,"1",2020,"Western Bulldogs","Bailey Smith"
"24","Eagles",94,"1",2020,"West Coast","Shannon Hurn"
"25","Magpies",94,"1",2020,"Collingwood","Chris Mayne"
"26","Eagles",93,"1",2020,"West Coast","Dom Sheed"
"27","Lions",93,"1",2020,"Brisbane Lions","Mitch Robinson"
"28","Blues",92,"1",2020,"Carlton","Patrick Cripps"
"29","Dockers",92,"1",2020,"Fremantle","Rory Lobb"
"30","Eagles",92,"1",2020,"West Coast","Lewis Jetta"
"31","Bombers",92,"1",2020,"Essendon","Andrew McGrath"
"32","Power",91,"1",2020,"Port Adelaide","Tom Rockliff"
"33","Eagles",91,"1",2020,"West Coast","Liam Ryan"
"34","Demons",90,"1",2020,"Melbourne","Christian Petracca"
"35","Tigers",90,"1",2020,"Richmond","Dustin Martin"
"36","Magpies",90,"1",2020,"Collingwood","Scott Pendlebury"
"37","Dockers",89,"1",2020,"Fremantle","Brett Bewley"
"38","Dockers",89,"1",2020,"Fremantle","Nat Fyfe"
"39","Kangaroos",89,"1",2020,"North Melbourne","Jy Simpkin"
"40","Cats",89,"1",2020,"Geelong","Gary Ablett"
"41","Cats",89,"1",2020,"Geelong","Mitch Duncan"
"42","Giants",89,"1",2020,"Greater Western Sydney","Jacob Hopper"
"43","Tigers",89,"1",2020,"Richmond","Dion Prestia"
"44","Saints",87,"1",2020,"St Kilda","Jack Billings"
"45","Blues",86,"1",2020,"Carlton","Jack Martin"
"46","Giants",86,"1",2020,"Greater Western Sydney","Harry Perryman"
"47","Kangaroos",86,"1",2020,"North Melbourne","Jared Polec"
"48","Power",86,"1",2020,"Port Adelaide","Darcy Byrne-Jones"
"49","Giants",85,"1",2020,"Greater Western Sydney","Nick Haynes"
"50","Hawks",85,"1",2020,"Hawthorn","Isaac Smith"
"51","Power",85,"1",2020,"Port Adelaide","Connor Rozee"
"52","Demons",85,"1",2020,"Melbourne","Michael Hibberd"
"53","Bulldogs",84,"1",2020,"Western Bulldogs","Jack Macrae"
"54","Power",84,"1",2020,"Port Adelaide","Travis Boak"
"55","Suns",84,"1",2020,"Gold Coast","Touk Miller"
"56","Eagles",83,"1",2020,"West Coast","Liam Duggan"
"57","Tigers",83,"1",2020,"Richmond","Shai Bolton"
"58","Hawks",83,"1",2020,"Hawthorn","Jaeger O'Meara"
"59","Bombers",82,"1",2020,"Essendon","Mason Redman"
"60","Power",82,"1",2020,"Port Adelaide","Karl Amon"
"61","Bombers",82,"1",2020,"Essendon","Kyle Langford"
"62","Saints",82,"1",2020,"St Kilda","Jack Steele"
"63","Hawks",82,"1",2020,"Hawthorn","Tom Mitchell"
"64","Dockers",82,"1",2020,"Fremantle","Darcy Tucker"
"65","Magpies",82,"1",2020,"Collingwood","Brody Mihocek"
"66","Blues",82,"1",2020,"Carlton","Levi Casboult"
"67","Giants",81,"1",2020,"Greater Western Sydney","Josh Kelly"
"68","Giants",81,"1",2020,"Greater Western Sydney","Toby Greene"
"69","Hawks",81,"1",2020,"Hawthorn","James Worpel"
"70","Eagles",81,"1",2020,"West Coast","Tim Kelly"
"71","Bombers",80,"1",2020,"Essendon","Jordan Ridley"
"72","Giants",80,"1",2020,"Greater Western Sydney","Sam Jacobs"
"73","Lions",80,"1",2020,"Brisbane Lions","Eric Hipwood"
"74","Dockers",80,"1",2020,"Fremantle","Michael Walters"
"75","Suns",80,"1",2020,"Gold Coast","Brayden Fiorini"
"76","Bulldogs",79,"1",2020,"Western Bulldogs","Hayden Crozier"
"77","Bombers",79,"1",2020,"Essendon","Michael Hurley"
"78","Swans",79,"1",2020,"Sydney","Tom Papley"
"79","Power",79,"1",2020,"Port Adelaide","Dan Houston"
"80","Power",79,"1",2020,"Port Adelaide","Ryan Burton"
"81","Blues",78,"1",2020,"Carlton","Marc Murphy"
"82","Swans",78,"1",2020,"Sydney","Sam Naismith"
"83","Saints",78,"1",2020,"St Kilda","Dan Hannebery"
"84","Crows",78,"1",2020,"Adelaide","Rory Sloane"
"85","Kangaroos",77,"1",2020,"North Melbourne","Todd Goldstein"
"86","Saints",76,"1",2020,"St Kilda","Dean Kent"
"87","Magpies",76,"1",2020,"Collingwood","Brayden Maynard"
"88","Power",76,"1",2020,"Port Adelaide","Robbie Gray"
"89","Power",76,"1",2020,"Port Adelaide","Sam Powell-Pepper"
"90","Cats",76,"1",2020,"Geelong","Tom Hawkins"
"91","Bombers",75,"1",2020,"Essendon","Zach Merrett"
"92","Demons",74,"1",2020,"Melbourne","Clayton Oliver"
"93","Suns",74,"1",2020,"Gold Coast","Ben Ainsworth"
"94","Hawks",74,"1",2020,"Hawthorn","Luke Breust"
"95","Giants",74,"1",2020,"Greater Western Sydney","Stephen Coniglio"
"96","Eagles",74,"1",2020,"West Coast","Tom Barrass"
"97","Magpies",73,"1",2020,"Collingwood","Will Hoskin-Elliott"
"98","Kangaroos",73,"1",2020,"North Melbourne","Shaun Higgins"
"99","Bombers",73,"1",2020,"Essendon","Jake Stringer"
"100","Demons",73,"1",2020,"Melbourne","Max Gawn"
"101","Suns",73,"1",2020,"Gold Coast","David Swallow"
"102","Blues",72,"1",2020,"Carlton","Kade Simpson"
"103","Swans",72,"1",2020,"Sydney","Callum Mills"
"104","Swans",72,"1",2020,"Sydney","Oliver Florent"
"105","Bombers",72,"1",2020,"Essendon","Will Snelling"
"106","Bulldogs",71,"1",2020,"Western Bulldogs","Alex Keath"
"107","Giants",71,"1",2020,"Greater Western Sydney","Daniel Lloyd"
"108","Tigers",71,"1",2020,"Richmond","Ivan Soldo"
"109","Bulldogs",71,"1",2020,"Western Bulldogs","Lachie Hunter"
"110","Crows",70,"1",2020,"Adelaide","Rory Laird"
"111","Swans",70,"1",2020,"Sydney","Sam Gray"
"112","Bombers",70,"1",2020,"Essendon","Devon Smith"
"113","Magpies",70,"1",2020,"Collingwood","Josh Daicos"
"114","Hawks",70,"1",2020,"Hawthorn","Shaun Burgoyne"
"115","Tigers",69,"1",2020,"Richmond","Daniel Rioli"
