"","supercoach","match_round","season","player_team","player_name"
"1",186,"1",2020,"Melbourne","Jack Viney"
"2",185,"1",2020,"North Melbourne","Ben Cunnington"
"3",179,"1",2020,"Collingwood","Brodie Grundy"
"4",163,"1",2020,"Essendon","Dylan Shiel"
"5",157,"1",2020,"Brisbane Lions","Lachie Neale"
"6",156,"1",2020,"Collingwood","Jeremy Howe"
"7",152,"1",2020,"West Coast","Shannon Hurn"
"8",152,"1",2020,"Sydney","Isaac Heeney"
"9",136,"1",2020,"North Melbourne","Todd Goldstein"
"10",134,"1",2020,"Greater Western Sydney","Sam Jacobs"
"11",133,"1",2020,"Fremantle","Rory Lobb"
"12",132,"1",2020,"Greater Western Sydney","Harry Perryman"
"13",131,"1",2020,"Hawthorn","Chad Wingard"
"14",131,"1",2020,"North Melbourne","Jy Simpkin"
"15",129,"1",2020,"Sydney","Josh P. Kennedy"
"16",128,"1",2020,"St Kilda","Jack Steele"
"17",128,"1",2020,"West Coast","Dom Sheed"
"18",127,"1",2020,"Collingwood","Brody Mihocek"
"19",127,"1",2020,"Hawthorn","Liam Shiels"
"20",126,"1",2020,"Richmond","Dustin Martin"
"21",126,"1",2020,"Hawthorn","Shaun Burgoyne"
"22",125,"1",2020,"Port Adelaide","Connor Rozee"
"23",125,"1",2020,"Collingwood","Steele Sidebottom"
"24",125,"1",2020,"Port Adelaide","Travis Boak"
"25",125,"1",2020,"Sydney","Luke Parker"
"26",123,"1",2020,"Adelaide","Rory Sloane"
"27",121,"1",2020,"Sydney","Sam Naismith"
"28",120,"1",2020,"Melbourne","Ed Langdon"
"29",120,"1",2020,"St Kilda","Jack Billings"
"30",120,"1",2020,"Geelong","Mitch Duncan"
"31",119,"1",2020,"Hawthorn","Tom Mitchell"
"32",119,"1",2020,"Hawthorn","Isaac Smith"
"33",119,"1",2020,"West Coast","Andrew Gaff"
"34",118,"1",2020,"Richmond","Dion Prestia"
"35",118,"1",2020,"St Kilda","Ben Long"
"36",117,"1",2020,"Carlton","Sam Docherty"
"37",116,"1",2020,"Gold Coast","Hugh Greenwood"
"38",115,"1",2020,"Brisbane Lions","Jarryd Lyons"
"39",115,"1",2020,"Western Bulldogs","Hayden Crozier"
"40",115,"1",2020,"Port Adelaide","Tom Rockliff"
"41",114,"1",2020,"Port Adelaide","Darcy Byrne-Jones"
"42",114,"1",2020,"Greater Western Sydney","Stephen Coniglio"
"43",114,"1",2020,"Greater Western Sydney","Nick Haynes"
"44",113,"1",2020,"St Kilda","Zak Jones"
"45",113,"1",2020,"Carlton","Sam Petrevski-Seton"
"46",113,"1",2020,"Hawthorn","Luke Breust"
"47",113,"1",2020,"Adelaide","Tom Lynch"
"48",113,"1",2020,"Essendon","Andrew McGrath"
"49",112,"1",2020,"Carlton","Patrick Cripps"
"50",112,"1",2020,"Collingwood","Taylor Adams"
"51",112,"1",2020,"Greater Western Sydney","Jacob Hopper"
"52",112,"1",2020,"Hawthorn","Jaeger O'Meara"
"53",111,"1",2020,"Essendon","Zach Merrett"
"54",111,"1",2020,"Gold Coast","Touk Miller"
"55",110,"1",2020,"Fremantle","Nat Fyfe"
"56",110,"1",2020,"Essendon","Adam Saad"
"57",110,"1",2020,"Fremantle","Michael Walters"
"58",109,"1",2020,"Collingwood","Scott Pendlebury"
"59",109,"1",2020,"Greater Western Sydney","Lachie Whitfield"
"60",109,"1",2020,"West Coast","Liam Ryan"
"61",108,"1",2020,"Greater Western Sydney","Toby Greene"
"62",107,"1",2020,"Adelaide","Reilly O'Brien"
"63",107,"1",2020,"Collingwood","Chris Mayne"
"64",107,"1",2020,"Carlton","Jack Martin"
"65",106,"1",2020,"Western Bulldogs","Bailey Smith"
"66",105,"1",2020,"Port Adelaide","Sam Powell-Pepper"
"67",105,"1",2020,"Melbourne","Christian Petracca"
"68",105,"1",2020,"Essendon","Devon Smith"
"69",104,"1",2020,"Carlton","Levi Casboult"
"70",104,"1",2020,"West Coast","Luke Shuey"
"71",104,"1",2020,"Port Adelaide","Brad Ebert"
"72",104,"1",2020,"Port Adelaide","Robbie Gray"
"73",104,"1",2020,"Collingwood","Brayden Maynard"
"74",104,"1",2020,"West Coast","Lewis Jetta"
"75",103,"1",2020,"Brisbane Lions","Harris Andrews"
"76",103,"1",2020,"Western Bulldogs","Jack Macrae"
"77",103,"1",2020,"Geelong","Tom Hawkins"
"78",102,"1",2020,"Carlton","Jacob Weitering"
"79",102,"1",2020,"Greater Western Sydney","Josh Kelly"
"80",102,"1",2020,"Richmond","Shai Bolton"
"81",101,"1",2020,"Port Adelaide","Ryan Burton"
"82",101,"1",2020,"Hawthorn","Jonathon Ceglar"
"83",101,"1",2020,"Greater Western Sydney","Daniel Lloyd"
"84",101,"1",2020,"Essendon","Tom Bellchambers"
"85",101,"1",2020,"Carlton","Marc Murphy"
"86",100,"1",2020,"Essendon","Jordan Ridley"
"87",100,"1",2020,"Richmond","Ivan Soldo"
"88",100,"1",2020,"Geelong","Tom Stewart"
"89",100,"1",2020,"West Coast","Nic Naitanui"
"90",100,"1",2020,"Fremantle","Sam Sturt"
"91",99,"1",2020,"Richmond","Daniel Rioli"
"92",99,"1",2020,"Sydney","Oliver Florent"
"93",99,"1",2020,"Essendon","Jacob Townsend"
"94",99,"1",2020,"Melbourne","Clayton Oliver"
"95",98,"1",2020,"Geelong","Luke Dahlhaus"
"96",98,"1",2020,"North Melbourne","Jared Polec"
"97",97,"1",2020,"Brisbane Lions","Mitch Robinson"
"98",96,"1",2020,"Adelaide","Wayne Milera"
"99",96,"1",2020,"Collingwood","Will Hoskin-Elliott"
"100",95,"1",2020,"Fremantle","Brett Bewley"
"101",94,"1",2020,"Geelong","Darcy Fort"
"102",94,"1",2020,"West Coast","Brad Sheppard"
"103",94,"1",2020,"Richmond","Trent Cotchin"
"104",94,"1",2020,"Richmond","Marlion Pickett"
"105",93,"1",2020,"Geelong","Gary Ablett"
"106",93,"1",2020,"Gold Coast","Ben Ainsworth"
"107",93,"1",2020,"Hawthorn","James Worpel"
"108",93,"1",2020,"St Kilda","Dan Hannebery"
"109",93,"1",2020,"North Melbourne","Shaun Higgins"
"110",93,"1",2020,"Gold Coast","Jack Bowes"
"111",93,"1",2020,"Melbourne","Max Gawn"
"112",93,"1",2020,"Port Adelaide","Steven Motlop"
"113",92,"1",2020,"West Coast","Brendon Ah Chee"
"114",92,"1",2020,"St Kilda","Rowan Marshall"
"115",92,"1",2020,"West Coast","Tom Barrass"
"116",92,"1",2020,"Port Adelaide","Karl Amon"
"117",92,"1",2020,"Gold Coast","Sam Collins"
"118",92,"1",2020,"Adelaide","Brad Crouch"
"119",92,"1",2020,"Essendon","Tom Cutler"
"120",92,"1",2020,"Gold Coast","David Swallow"
"121",92,"1",2020,"St Kilda","Luke Dunstan"
"122",92,"1",2020,"Western Bulldogs","Caleb Daniel"
"123",91,"1",2020,"Geelong","Mark O'Connor"
"124",91,"1",2020,"Richmond","Liam Baker"
"125",90,"1",2020,"Richmond","Kane Lambert"
"126",90,"1",2020,"Richmond","David Astbury"
"127",89,"1",2020,"Collingwood","Callum L. Brown"
"128",88,"1",2020,"Fremantle","Reece Conca"
"129",88,"1",2020,"Essendon","Kyle Langford"
"130",88,"1",2020,"St Kilda","Jarryn Geary"
"131",88,"1",2020,"Adelaide","Rory Laird"
"132",87,"1",2020,"Brisbane Lions","Daniel Rich"
"133",87,"1",2020,"Adelaide","Rory Atkins"
"134",86,"1",2020,"North Melbourne","Tarryn Thomas"
"135",86,"1",2020,"Richmond","Shane Edwards"
"136",86,"1",2020,"Sydney","Dane Rampe"
"137",86,"1",2020,"West Coast","Tim Kelly"
"138",86,"1",2020,"Brisbane Lions","Eric Hipwood"
"139",86,"1",2020,"Richmond","Jayden Short"
"140",86,"1",2020,"Geelong","Mark Blicavs"
"141",85,"1",2020,"Brisbane Lions","Hugh McCluggage"
"142",85,"1",2020,"Sydney","Callum Mills"
"143",85,"1",2020,"Adelaide","Lachlan Murphy"
"144",85,"1",2020,"Geelong","Harry Taylor"
"145",85,"1",2020,"Sydney","Tom McCartin"
"146",85,"1",2020,"Sydney","Tom Papley"
"147",84,"1",2020,"Melbourne","Jay Lockhart"
"148",84,"1",2020,"Western Bulldogs","Lachie Hunter"
"149",84,"1",2020,"St Kilda","Sebastian Ross"
"150",84,"1",2020,"St Kilda","Hunter Clark"
"151",84,"1",2020,"Richmond","Josh Caddy"
"152",84,"1",2020,"Sydney","Jordan Dawson"
"153",83,"1",2020,"West Coast","Jeremy McGovern"
"154",83,"1",2020,"Geelong","Patrick Dangerfield"
"155",82,"1",2020,"Carlton","Kade Simpson"
"156",82,"1",2020,"Essendon","Will Snelling"
"157",82,"1",2020,"Geelong","Quinton Narkle"
"158",82,"1",2020,"Collingwood","Mason Cox"
"159",81,"1",2020,"Sydney","Justin McInerney"
"160",81,"1",2020,"North Melbourne","Ben Brown"
"161",80,"1",2020,"Port Adelaide","Todd Marshall"
"162",80,"1",2020,"North Melbourne","Jamie Macmillan"
"163",80,"1",2020,"North Melbourne","Trent Dumont"
"164",80,"1",2020,"Carlton","Zac Fisher"
"165",80,"1",2020,"Gold Coast","Matthew Rowell"
"166",80,"1",2020,"Hawthorn","Ben McEvoy"
"167",79,"1",2020,"Port Adelaide","Xavier Duursma"
"168",79,"1",2020,"Essendon","Matt Guelfi"
"169",79,"1",2020,"Richmond","Jason Castagna"
"170",79,"1",2020,"Melbourne","Michael Hibberd"
"171",79,"1",2020,"Adelaide","Daniel Talia"
"172",79,"1",2020,"St Kilda","Callum Wilkie"
"173",79,"1",2020,"North Melbourne","Curtis Taylor"
"174",79,"1",2020,"Western Bulldogs","Alex Keath"
"175",79,"1",2020,"Port Adelaide","Trent McKenzie"
"176",79,"1",2020,"Gold Coast","Brandon Ellis"
"177",79,"1",2020,"St Kilda","Paddy Ryder"
"178",79,"1",2020,"Essendon","Mason Redman"
"179",79,"1",2020,"Port Adelaide","Dan Houston"
"180",78,"1",2020,"Port Adelaide","Mitchell Georgiades"
"181",78,"1",2020,"Richmond","Nick Vlastuin"
"182",77,"1",2020,"Melbourne","James Harmes"
"183",77,"1",2020,"Sydney","Jake Lloyd"
"184",77,"1",2020,"Western Bulldogs","Bailey Williams"
"185",76,"1",2020,"West Coast","Liam Duggan"
"186",76,"1",2020,"Fremantle","Darcy Tucker"
"187",76,"1",2020,"Western Bulldogs","Marcus Bontempelli"
"188",76,"1",2020,"St Kilda","Ben Paton"
"189",75,"1",2020,"Brisbane Lions","Charlie Cameron"
"190",75,"1",2020,"Brisbane Lions","Daniel McStay"
"191",75,"1",2020,"North Melbourne","Jed Anderson"
"192",74,"1",2020,"Collingwood","John Noble"
"193",74,"1",2020,"Essendon","Jake Stringer"
"194",74,"1",2020,"Greater Western Sydney","Zac Langdon"
"195",74,"1",2020,"Richmond","Jack Riewoldt"
"196",73,"1",2020,"Sydney","Sam Gray"
"197",73,"1",2020,"Greater Western Sydney","Brent Daniels"
"198",73,"1",2020,"Hawthorn","Jack Gunston"
"199",73,"1",2020,"Hawthorn","Oliver Hanrahan"
"200",71,"1",2020,"St Kilda","Dean Kent"
"201",71,"1",2020,"Melbourne","Angus Brayshaw"
"202",71,"1",2020,"Gold Coast","Brayden Fiorini"
"203",71,"1",2020,"Sydney","Aliir Aliir"
"204",70,"1",2020,"Melbourne","Oscar McDonald"
"205",70,"1",2020,"Collingwood","Jamie Elliott"
"206",70,"1",2020,"St Kilda","Dougal Howard"
"207",70,"1",2020,"Port Adelaide","Scott Lycett"
"208",70,"1",2020,"Greater Western Sydney","Jeremy Cameron"
"209",70,"1",2020,"Hawthorn","James Sicily"
"210",70,"1",2020,"Fremantle","Taylin Duman"
"211",69,"1",2020,"West Coast","Jamie Cripps"
"212",69,"1",2020,"St Kilda","Dan Butler"
"213",69,"1",2020,"Carlton","Mitch McGovern"
