"","player_name","match_round","vote","season","player_team"
"1","Dustin Martin","1",10,2017,"Richmond"
"2","Dion Prestia","1",8,2017,"Richmond"
"3","Jason Castagna","1",4,2017,"Richmond"
"4","Matthew Kreuzer","1",3,2017,"Carlton"
"5","Marc Murphy","1",3,2017,"Carlton"
"6","Dan Butler","1",1,2017,"Richmond"
"7","Trent Cotchin","1",1,2017,"Richmond"
"8","Scott Pendlebury","1",9,2017,"Collingwood"
"9","Jason Johannisen","1",8,2017,"Western Bulldogs"
"10","Fletcher Roberts","1",4,2017,"Western Bulldogs"
"11","Lachie Hunter","1",3,2017,"Western Bulldogs"
"12","Steele Sidebottom","1",3,2017,"Collingwood"
"13","Robert Murphy","1",2,2017,"Western Bulldogs"
"14","Marcus Bontempelli","1",1,2017,"Western Bulldogs"
"15","Ollie Wines","1",10,2017,"Port Adelaide"
"16","Brad Ebert","1",4,2017,"Port Adelaide"
"17","Lance Franklin","1",4,2017,"Sydney"
"18","Sam Powell-Pepper","1",4,2017,"Port Adelaide"
"19","Paddy Ryder","1",4,2017,"Port Adelaide"
"20","Aaron Young","1",2,2017,"Port Adelaide"
"21","Chad Wingard","1",2,2017,"Port Adelaide"
"22","Clayton Oliver","1",9,2017,"Melbourne"
"23","Max Gawn","1",5,2017,"Melbourne"
"24","Bernie Vince","1",5,2017,"Melbourne"
"25","Jordan Lewis","1",4,2017,"Melbourne"
"26","Nathan Jones","1",3,2017,"Melbourne"
"27","Jesse Hogan","1",2,2017,"Melbourne"
"28","Nick Riewoldt","1",2,2017,"St Kilda"
"29","Dayne Beams","1",10,2017,"Brisbane Lions"
"30","Gary Ablett","1",6,2017,"Gold Coast"
"31","Touk Miller","1",5,2017,"Gold Coast"
"32","Tom Rockliff","1",5,2017,"Brisbane Lions"
"33","Harris Andrews","1",3,2017,"Brisbane Lions"
"34","Dayne Zorko","1",1,2017,"Brisbane Lions"
"35","Dyson Heppell","1",9,2017,"Essendon"
"36","Zach Merrett","1",9,2017,"Essendon"
