,web_scraped_team,player_team
1,Adelaide Crows,Adelaide
2,Brisbane Lions,Brisbane Lions
3,Carlton Blues,Carlton
4,Collingwood Magpies,Collingwood
5,Essendon Bombers,Essendon
6,Fremantle Dockers,Fremantle
7,GWS Giants,Greater Western Sydney
8,Geelong Cats,Geelong
9,Gold Coast Suns,Gold Coast
10,Hawthorn Hawks,Hawthorn
11,Melbourne Demons,Melbourne
12,North Melbourne Kangaroos,North Melbourne
13,Port Adelaide Power,Port Adelaide
14,Richmond Tigers,Richmond
15,St Kilda Saints,St Kilda
16,Sydney Swans,Sydney
17,West Coast Eagles,West Coast
18,Western Bulldogs,Western Bulldogs
19,Adelaide,Adelaide
20,Brisbane,Brisbane Lions
21,Carlton,Carlton
22,Collingwood,Collingwood
23,Essendon,Essendon
24,Fremantle,Fremantle
25,GWS,Greater Western Sydney
26,Geelong,Geelong
27,Gold Coast,Gold Coast
28,Hawthorn,Hawthorn
29,Melbourne,Melbourne
30,North Melbourne,North Melbourne
31,Port Adelaide,Port Adelaide
32,Richmond,Richmond
33,St Kilda,St Kilda
34,Sydney,Sydney
35,West Coast,West Coast
36,RICH,Richmond
37,CARL,Carlton
38,COLL,Collingwood
39,WB,Western Bulldogs
40,PORT,Port Adelaide
41,SYD,Sydney
42,MELB,Melbourne
43,STK,St Kilda
44,BL,Brisbane Lions
45,GCFC,Gold Coast
46,ESS,Essendon
47,HAW,Hawthorn
48,WCE,West Coast
49,NMFC,North Melbourne
50,ADEL,Adelaide
51,GEEL,Geelong
52,FRE,Fremantle
53,GWS,Greater Western Sydney
54,Demons,Melbourne
55,Kangaroos,North Melbourne
56,Magpies,Collingwood
57,Bombers,Essendon
58,Lions,Brisbane Lions
59,Eagles,West Coast
60,Swans,Sydney
61,Giants,Greater Western Sydney
62,Dockers,Fremantle
63,Hawks,Hawthorn
64,Saints,St Kilda
65,Tigers,Richmond
66,Power,Port Adelaide
67,Crows,Adelaide
68,Cats,Geelong
69,Blues,Carlton
70,Suns,Gold Coast
71,Bulldogs,Western Bulldogs
