"","season","match_date","match_round","player_team","bookmaker_prob_win"
"1",2017,"2017-03-23",1,"Richmond",0.68
"2",2017,"2017-03-23",1,"Carlton",0.32
"3",2017,"2017-03-24",1,"Western Bulldogs",0.69
"4",2017,"2017-03-24",1,"Collingwood",0.31
"5",2017,"2017-03-25",1,"Port Adelaide",0.26
"6",2017,"2017-03-25",1,"Sydney",0.74
"7",2017,"2017-03-25",1,"Melbourne",0.43
"8",2017,"2017-03-25",1,"St Kilda",0.57
"9",2017,"2017-03-25",1,"Brisbane Lions",0.26
"10",2017,"2017-03-25",1,"Gold Coast",0.74
"11",2017,"2017-03-25",1,"Essendon",0.31
"12",2017,"2017-03-25",1,"Hawthorn",0.69
"13",2017,"2017-03-26",1,"West Coast",0.72
"14",2017,"2017-03-26",1,"North Melbourne",0.28
"15",2017,"2017-03-26",1,"Adelaide",0.48
"16",2017,"2017-03-26",1,"Greater Western Sydney",0.52
"17",2017,"2017-03-26",1,"Geelong",0.57
"18",2017,"2017-03-26",1,"Fremantle",0.43
"19",2017,"2017-03-30",2,"Richmond",0.45
"20",2017,"2017-03-30",2,"Collingwood",0.55
"21",2017,"2017-03-31",2,"Western Bulldogs",0.68
"22",2017,"2017-03-31",2,"Sydney",0.32
"23",2017,"2017-04-01",2,"Adelaide",0.52
"24",2017,"2017-04-01",2,"Hawthorn",0.48
"25",2017,"2017-04-01",2,"Greater Western Sydney",0.85
"26",2017,"2017-04-01",2,"Gold Coast",0.15
"27",2017,"2017-04-01",2,"Essendon",0.67
"28",2017,"2017-04-01",2,"Brisbane Lions",0.33
"29",2017,"2017-04-01",2,"West Coast",0.82
"30",2017,"2017-04-01",2,"St Kilda",0.18
"31",2017,"2017-04-02",2,"Geelong",0.81
"32",2017,"2017-04-02",2,"North Melbourne",0.19
"33",2017,"2017-04-02",2,"Melbourne",0.79
"34",2017,"2017-04-02",2,"Carlton",0.21
"35",2017,"2017-04-02",2,"Port Adelaide",0.79
"36",2017,"2017-04-02",2,"Fremantle",0.21
"37",2017,"2017-04-07",3,"Collingwood",0.25
"38",2017,"2017-04-07",3,"Sydney",0.75
"39",2017,"2017-04-08",3,"Greater Western Sydney",0.83
"40",2017,"2017-04-08",3,"North Melbourne",0.17
"41",2017,"2017-04-08",3,"Richmond",0.4
"42",2017,"2017-04-08",3,"West Coast",0.6
"43",2017,"2017-04-08",3,"Geelong",0.63
"44",2017,"2017-04-08",3,"Melbourne",0.37
"45",2017,"2017-04-08",3,"Adelaide",0.65
"46",2017,"2017-04-08",3,"Port Adelaide",0.35
"47",2017,"2017-04-08",3,"Fremantle",0.21
"48",2017,"2017-04-08",3,"Western Bulldogs",0.79
"49",2017,"2017-04-09",3,"St Kilda",0.8
"50",2017,"2017-04-09",3,"Brisbane Lions",0.2
"51",2017,"2017-04-09",3,"Carlton",0.21
"52",2017,"2017-04-09",3,"Essendon",0.79
"53",2017,"2017-04-09",3,"Gold Coast",0.33
"54",2017,"2017-04-09",3,"Hawthorn",0.67
"55",2017,"2017-04-13",4,"West Coast",0.73
"56",2017,"2017-04-13",4,"Sydney",0.27
"57",2017,"2017-04-14",4,"Western Bulldogs",0.74
"58",2017,"2017-04-14",4,"North Melbourne",0.26
"59",2017,"2017-04-15",4,"Fremantle",0.31
"60",2017,"2017-04-15",4,"Melbourne",0.69
"61",2017,"2017-04-15",4,"Greater Western Sydney",0.69
"62",2017,"2017-04-15",4,"Port Adelaide",0.31
"63",2017,"2017-04-15",4,"Gold Coast",0.55
"64",2017,"2017-04-15",4,"Carlton",0.45
"65",2017,"2017-04-15",4,"Adelaide",0.83
"66",2017,"2017-04-15",4,"Essendon",0.17
"67",2017,"2017-04-16",4,"St Kilda",0.4
"68",2017,"2017-04-16",4,"Collingwood",0.6
"69",2017,"2017-04-16",4,"Richmond",0.71
"70",2017,"2017-04-16",4,"Brisbane Lions",0.29
"71",2017,"2017-04-17",4,"Geelong",0.68
"72",2017,"2017-04-17",4,"Hawthorn",0.32
"73",2017,"2017-04-21",5,"Port Adelaide",0.89
"74",2017,"2017-04-21",5,"Carlton",0.11
"75",2017,"2017-04-22",5,"Western Bulldogs",0.91
"76",2017,"2017-04-22",5,"Brisbane Lions",0.09
"77",2017,"2017-04-22",5,"Adelaide",0.78
"78",2017,"2017-04-22",5,"Gold Coast",0.22
"79",2017,"2017-04-22",5,"Greater Western Sydney",0.64
"80",2017,"2017-04-22",5,"Sydney",0.36
"81",2017,"2017-04-22",5,"Fremantle",0.59
"82",2017,"2017-04-22",5,"North Melbourne",0.41
"83",2017,"2017-04-23",5,"Geelong",0.63
"84",2017,"2017-04-23",5,"St Kilda",0.37
"85",2017,"2017-04-23",5,"Hawthorn",0.34
"86",2017,"2017-04-23",5,"West Coast",0.66
"87",2017,"2017-04-24",5,"Richmond",0.57
"88",2017,"2017-04-24",5,"Melbourne",0.43
"89",2017,"2017-04-25",5,"Essendon",0.39
"90",2017,"2017-04-25",5,"Collingwood",0.61
"91",2017,"2017-04-28",6,"Greater Western Sydney",0.71
"92",2017,"2017-04-28",6,"Western Bulldogs",0.29
"93",2017,"2017-04-29",6,"St Kilda",0.48
"94",2017,"2017-04-29",6,"Hawthorn",0.52
"95",2017,"2017-04-29",6,"Carlton",0.23
"96",2017,"2017-04-29",6,"Sydney",0.77
"97",2017,"2017-04-29",6,"Port Adelaide",0.83
"98",2017,"2017-04-29",6,"Brisbane Lions",0.17
"99",2017,"2017-04-29",6,"North Melbourne",0.65
"100",2017,"2017-04-29",6,"Gold Coast",0.35
"101",2017,"2017-04-29",6,"West Coast",0.71
"102",2017,"2017-04-29",6,"Fremantle",0.29
"103",2017,"2017-04-30",6,"Melbourne",0.51
