"","player_name","web_scraped_team","dob","height"
"1","Sam Berry","Adelaide Crows",2002-02-12,181
"2","James Borlase","Adelaide Crows",2002-07-18,192
"3","Luke Brown","Adelaide Crows",1992-09-22,181
"4","Jordon Butts","Adelaide Crows",1999-12-31,198
"5","Brayden Cook","Adelaide Crows",2002-07-18,189
"6","Matt Crouch","Adelaide Crows",1995-04-21,182
"7","Ben Davis","Adelaide Crows",1997-05-19,187
"8","Tom Doedee","Adelaide Crows",1997-03-01,188
"9","Darcy Fogarty","Adelaide Crows",1999-09-25,193
"10","Billy Frampton","Adelaide Crows",1996-11-20,200
"11","Bryce Gibbs","Adelaide Crows",1989-03-15,188
"12","Lachlan Gollant","Adelaide Crows",2001-09-12,191
"13","Will Hamill","Adelaide Crows",2000-11-17,186
"14","Jackson Hately","Adelaide Crows",2000-10-21,190
"15","Elliott Himmelberg","Adelaide Crows",1998-06-04,198
"16","Mitchell Hinge","Adelaide Crows",1998-06-26,190
"17","Chayce Jones","Adelaide Crows",2000-01-14,180
"18","Ben Keays","Adelaide Crows",1997-02-23,185
"19","Jake Kelly","Adelaide Crows",1995-01-21,190
"20","Rory Laird","Adelaide Crows",1993-12-29,177
"21","Tom Lynch","Adelaide Crows",1990-09-15,193
"22","David MacKay","Adelaide Crows",1988-07-25,181
"23","Shane McAdam","Adelaide Crows",1995-05-28,181
"24","Fischer McAsey","Adelaide Crows",2001-03-08,197
"25","Ned McHenry","Adelaide Crows",2000-07-13,179
"26","Andrew McPherson","Adelaide Crows",1999-06-20,186
"27","Wayne Milera","Adelaide Crows",1997-09-14,184
"28","Lachlan Murphy","Adelaide Crows",1998-12-04,176
"29","Tariek Newchurch","Adelaide Crows",2002-07-21,182
"30","Reilly O'Brien","Adelaide Crows",1995-08-20,202
"31","Ronin O'Connor","Adelaide Crows",2001-02-01,191
"32","Luke Pedlar","Adelaide Crows",2002-05-17,183
"33","James Rowe","Adelaide Crows",1999-09-17,173
"34","Harry Schoenberg","Adelaide Crows",2001-02-21,180
"35","Paul Seedsman","Adelaide Crows",1992-01-22,190
"36","Lachlan Sholl","Adelaide Crows",2000-03-07,185
"37","Rory Sloane","Adelaide Crows",1990-03-17,182
"38","Brodie Smith","Adelaide Crows",1992-01-14,189
"39","Tyson Stengle","Adelaide Crows",1998-10-19,172
"40","Kieran Strachan","Adelaide Crows",1995-10-05,204
"41","Daniel Talia","Adelaide Crows",1991-10-02,197
"42","Riley Thilthorpe","Adelaide Crows",2002-07-07,201
"43","Taylor Walker","Adelaide Crows",1990-04-25,193
"44","Josh Worrell","Adelaide Crows",2001-04-11,195
"45","Marcus Adams","Brisbane Lions",1993-06-30,192
"46","Chee, Callum Ah","Brisbane Lions",1997-10-09,182
"47","Harris Andrews","Brisbane Lions",1996-12-11,201
"48","Noah Answerth","Brisbane Lions",1999-08-06,182
"49","Zac Bailey","Brisbane Lions",1999-09-23,182
"50","Connor Ballenden","Brisbane Lions",1999-03-29,200
"51","Jarrod Berry","Brisbane Lions",1998-02-05,193
"52","Thomas Berry","Brisbane Lions",2000-05-01,185
"53","Grant Birchall","Brisbane Lions",1988-01-28,193
"54","Charlie Cameron","Brisbane Lions",1994-07-05,181
"55","Nakia Cockatoo","Brisbane Lions",1996-10-23,186
"56","Blake Coleman","Brisbane Lions",2002-08-06,180
"57","Keidean Coleman","Brisbane Lions",2000-03-31,183
"58","Joe Daniher","Brisbane Lions",1994-03-04,200
"59","Cameron Ellis-Yolmen","Brisbane Lions",1993-01-28,190
"60","Tom Fullarton","Brisbane Lions",1999-02-23,199
"61","Darcy Gardiner","Brisbane Lions",1995-09-22,193
"62","Eric Hipwood","Brisbane Lions",1997-09-13,204
"63","Tom Joyce","Brisbane Lions",2000-03-07,180
"64","Ryan Lester","Brisbane Lions",1992-08-26,192
"65","Jarryd Lyons","Brisbane Lions",1992-07-22,184
"66","James Madden","Brisbane Lions",1999-11-15,186
"67","Rhys Mathieson","Brisbane Lions",1997-01-10,188
"68","Lincoln McCarthy","Brisbane Lions",1993-10-22,176
"69","Hugh McCluggage","Brisbane Lions",1998-03-03,187
"70","Connor McFadyen","Brisbane Lions",2000-12-04,190
"71","Oscar McInerney","Brisbane Lions",1994-07-10,205
"72","Daniel McStay","Brisbane Lions",1995-06-24,195
"73","Carter Michael","Brisbane Lions",2002-05-22,188
"74","Lachie Neale","Brisbane Lions",1993-05-24,177
"75","Jack Payne","Brisbane Lions",1999-10-15,197
"76","Jaxon Prior","Brisbane Lions",2001-06-04,188
"77","Cameron Rayner","Brisbane Lions",1999-10-21,187
"78","Daniel Rich","Brisbane Lions",1990-06-07,183
"79","Deven Robertson","Brisbane Lions",2001-06-30,182
"80","Mitch Robinson","Brisbane Lions",1989-06-07,184
"81","Harry Sharp","Brisbane Lions",2002-12-17,183
"82","Archie Smith","Brisbane Lions",1995-07-19,203
"83","Brock Smith","Brisbane Lions",2001-03-13,188
"84","Ely Smith","Brisbane Lions",2000-09-13,187
"85","Henry Smith","Brisbane Lions",2002-09-24,204
"86","Brandon Starcevich","Brisbane Lions",1999-07-24,188
"87","Deividas Uosis","Brisbane Lions",2000-06-28,183
"88","Dayne Zorko","Brisbane Lions",1989-02-09,175
"89","Eddie Betts","Carlton Blues",1986-11-26,174
"90","Jack Carroll","Carlton Blues",2002-12-20,187
"91","Levi Casboult","Carlton Blues",1990-03-15,201
"92","Matt Cottrell","Carlton Blues",2000-02-29,181
"93","Patrick Cripps","Carlton Blues",1995-03-18,195
"94","David Cuningham","Carlton Blues",1997-03-30,185
"95","Charlie Curnow","Carlton Blues",1997-02-03,192
"96","Edward Curnow","Carlton Blues",1989-11-07,180
"97","Koning, Tom De","Carlton Blues",1999-07-16,203
"98","Sam Docherty","Carlton Blues",1993-10-17,187
"99","Paddy Dow","Carlton Blues",1999-10-16,187
"100","Corey Durdin","Carlton Blues",2002-04-14,173
"101","Zac Fisher","Carlton Blues",1998-06-15,177
"102","Lachlan Fogarty","Carlton Blues",1999-04-01,180
"103","Michael Gibbons","Carlton Blues",1995-05-15,175
"104","Josh Honey","Carlton Blues",2001-10-17,184
"105","Liam Jones","Carlton Blues",1991-02-24,199
"106","Brodie Kemp","Carlton Blues",2001-05-01,192
"107","Caleb Marchbank","Carlton Blues",1996-12-07,193
"108","Jack Martin","Carlton Blues",1995-01-29,186
"109","Mitch McGovern","Carlton Blues",1994-10-11,191
"110","Harry McKay","Carlton Blues",1997-12-24,204
"111","Marc Murphy","Carlton Blues",1987-07-19,180
"112","Nic Newman","Carlton Blues",1993-01-15,187
"113","Jack Newnes","Carlton Blues",1993-02-24,186
"114","Lochie O'Brien","Carlton Blues",1999-09-18,185
"115","Matt Owies","Carlton Blues",1997-03-19,179
"116","Luke Parks","Carlton Blues",NA,NA
"117","Sam Petrevski-Seton","Carlton Blues",1998-02-19,182
"118","Sam Philp","Carlton Blues",2001-08-04,185
"119","Marc Pittonet","Carlton Blues",1996-06-03,202
"120","Lachlan Plowman","Carlton Blues",1994-09-11,193
"121","Sam Ramsay","Carlton Blues",2001-03-21,180
"122","Adam Saad","Carlton Blues",1994-07-23,178
"123","Will Setterfield","Carlton Blues",1998-02-05,192
"124","Jack Silvagni","Carlton Blues",1997-12-17,194
"125","Liam Stocker","Carlton Blues",2000-01-23,184
"126","Sam Walsh","Carlton Blues",2000-07-02,184
"127","Jacob Weitering","Carlton Blues",1997-11-23,196
"128","Zachary Williams","Carlton Blues",1994-09-20,185
"129","Tom Williamson","Carlton Blues",1998-12-12,190
"130","Taylor Adams","Collingwood Magpies",1993-09-20,181
"131","Trent Bianco","Collingwood Magpies",2001-01-20,178
"132","Callum Brown","Collingwood Magpies",1998-04-27,178
"133","Tyler Brown","Collingwood Magpies",1999-12-09,188
"134","Darcy Cameron","Collingwood Magpies",1995-07-18,205
"135","Isaac Chugg","Collingwood Magpies",NA,NA
"136","Mason Cox","Collingwood Magpies",1991-03-14,211
"137","Jack Crisp","Collingwood Magpies",1993-10-02,190
"138","Josh Daicos","Collingwood Magpies",1998-11-26,178
"139","Goey, Jordan De","Collingwood Magpies",1996-03-15,188
"140","Jamie Elliott","Collingwood Magpies",1992-08-21,178
"141","Jack Ginnivan","Collingwood Magpies",NA,NA
"142","Levi Greenwood","Collingwood Magpies",1989-02-19,181
"143","Brodie Grundy","Collingwood Magpies",1994-04-15,203
"144","Oliver Henry","Collingwood Magpies",2002-07-29,186
"145","Will Hoskin-Elliott","Collingwood Magpies",1993-09-02,186
"146","Jeremy Howe","Collingwood Magpies",1990-06-29,190
"147","Mark Keane","Collingwood Magpies",2000-03-17,194
"148","Will Kelly","Collingwood Magpies",2000-08-16,194
"149","Max Lynch","Collingwood Magpies",1998-09-12,200
"150","Finlay Macrae","Collingwood Magpies",2002-03-13,186
"151","Jack Madgen","Collingwood Magpies",1993-04-25,192
"152","Brayden Maynard","Collingwood Magpies",1996-09-20,189
"153","Christopher Mayne","Collingwood Magpies",1988-11-02,188
"154","Beau McCreery","Collingwood Magpies",NA,NA
"155","Reef McInnes","Collingwood Magpies",2002-12-12,193
"156","Liam McMahon","Collingwood Magpies",2002-05-02,194
"157","Brody Mihocek","Collingwood Magpies",1993-02-04,192
"158","Darcy Moore","Collingwood Magpies",1996-01-25,203
"159","Nathan Murphy","Collingwood Magpies",1999-12-15,190
"160","John Noble","Collingwood Magpies",1997-03-25,180
"161","Scott Pendlebury","Collingwood Magpies",1988-01-07,191
"162","Caleb Poulter","Collingwood Magpies",2002-10-12,192
"163","Isaac Quaynor","Collingwood Magpies",2000-01-15,180
"164","Jay Rantall","Collingwood Magpies",2001-06-10,184
"165","Jordan Roughead","Collingwood Magpies",1990-11-03,200
"166","Trey Ruscoe","Collingwood Magpies",2001-11-03,190
"167","Steele Sidebottom","Collingwood Magpies",1991-01-02,184
"168","Brayden Sier","Collingwood Magpies",1997-12-12,191
"169","Josh Thomas","Collingwood Magpies",1991-10-01,178
"170","Anton Tohill","Collingwood Magpies",1999-12-14,191
"171","Tom Wilson","Collingwood Magpies",1997-06-14,194
"172","Patrick Ambrose","Essendon Bombers",1991-09-01,191
"173","Cody Brand","Essendon Bombers",2002-05-23,195
"174","Nick Bryan","Essendon Bombers",2001-10-22,202
"175","Ned Cahill","Essendon Bombers",2001-01-11,178
"176","Jye Caldwell","Essendon Bombers",2000-09-28,183
"177","Dylan Clarke","Essendon Bombers",1998-09-06,187
"178","Nikolas Cox","Essendon Bombers",2002-01-15,199
"179","Tom Cutler","Essendon Bombers",1995-02-20,192
"180","Sam Draper","Essendon Bombers",1998-09-28,205
"181","Josh Eyre","Essendon Bombers",2002-10-24,197
"182","Aaron Francis","Essendon Bombers",1997-08-10,192
"183","Martin Gleeson","Essendon Bombers",1994-08-25,191
"184","Matt Guelfi","Essendon Bombers",1997-08-14,184
"185","Brayden Ham","Essendon Bombers",1999-04-25,181
"186","Dyson Heppell","Essendon Bombers",1992-05-14,189
"187","Nick Hind","Essendon Bombers",1994-08-19,180
"188","Tom Hird","Essendon Bombers",2001-03-28,182
"189","Cale Hooker","Essendon Bombers",1988-10-13,198
"190","Michael Hurley","Essendon Bombers",1990-06-01,192
"191","Lachlan Johnson","Essendon Bombers",2001-08-07,176
"192","Harrison Jones","Essendon Bombers",2001-02-25,194
"193","Kyle Langford","Essendon Bombers",1996-12-01,191
"194","Jayden Laverde","Essendon Bombers",1996-04-12,191
"195","Cian McBride","Essendon Bombers",2001-04-19,197
"196","Anthony McDonald-Tipungwuti","Essendon Bombers",1993-04-22,171
"197","Andrew McGrath","Essendon Bombers",1998-06-02,178
"198","Ross McQuillan","Essendon Bombers",1999-01-18,188
"199","Zachary Merrett","Essendon Bombers",1995-10-03,180
"200","Irving Mosquito","Essendon Bombers",2000-08-24,176
"201","Darcy Parish","Essendon Bombers",1997-07-25,181
"202","Archie Perkins","Essendon Bombers",2002-03-26,185
"203","Andrew Phillips","Essendon Bombers",1991-07-03,201
"204","Mason Redman","Essendon Bombers",1997-08-26,187
"205","Zach Reid","Essendon Bombers",2002-03-02,202
"206","Jordan Ridley","Essendon Bombers",1998-10-20,192
"207","Dylan Shiel","Essendon Bombers",1993-03-09,182
"208","Devon Smith","Essendon Bombers",1993-05-20,174
"209","Will Snelling","Essendon Bombers",1997-08-06,175
"210","James Stewart","Essendon Bombers",1994-03-04,199
"211","Jake Stringer","Essendon Bombers",1994-04-25,192
"212","Peter Wright","Essendon Bombers",1996-09-08,203
"213","David Zaharakis","Essendon Bombers",1990-02-21,180
"214","Brandon Zerk-Thatcher","Essendon Bombers",1998-08-25,195
"215","Blake Acres","Fremantle Dockers",1995-10-07,191
"216","James Aish","Fremantle Dockers",1995-11-08,183
"217","Bailey Banfield","Fremantle Dockers",1998-02-26,190
"218","Brett Bewley","Fremantle Dockers",1995-04-14,185
"219","Connor Blakely","Fremantle Dockers",1996-03-02,188
"220","Andrew Brayshaw","Fremantle Dockers",1999-11-08,184
"221","Adam Cerra","Fremantle Dockers",1999-10-07,188
"222","Heath Chapman","Fremantle Dockers",2002-01-31,193
"223","Travis Colyer","Fremantle Dockers",1991-08-24,175
"224","Reece Conca","Fremantle Dockers",1992-08-12,181
"225","Brennan Cox","Fremantle Dockers",1998-08-13,195
"226","Mitchell Crowden","Fremantle Dockers",1999-04-28,176
"227","Sean Darcy","Fremantle Dockers",1998-06-12,202
"228","Taylin Duman","Fremantle Dockers",1998-04-18,193
"229","Minairo Frederick","Fremantle Dockers",2000-05-17,183
"230","Nathan Fyfe","Fremantle Dockers",1991-09-18,192
"231","Stefan Giro","Fremantle Dockers",1999-03-10,175
"232","Joel Hamling","Fremantle Dockers",1993-04-09,194
"233","Liam Henry","Fremantle Dockers",2001-08-28,179
"234","Stephen Hill","Fremantle Dockers",1990-05-01,183
"235","Ethan Hughes","Fremantle Dockers",1994-12-07,188
"236","Rory Lobb","Fremantle Dockers",1993-02-09,206
"237","Griffin Logue","Fremantle Dockers",1998-04-13,193
"238","Lloyd Meek","Fremantle Dockers",1998-04-22,203
"239","David Mundy","Fremantle Dockers",1985-07-20,193
"240","Nathan O'Driscoll","Fremantle Dockers",2002-05-17,187
"241","Alex Pearce","Fremantle Dockers",1995-06-09,201
"242","Luke Ryan","Fremantle Dockers",1996-02-06,187
"243","Lachlan Schultz","Fremantle Dockers",1997-11-30,178
"244","Caleb Serong","Fremantle Dockers",2001-02-09,178
"245","Sam Sturt","Fremantle Dockers",2000-05-12,189
"246","Sam Switkowski","Fremantle Dockers",1996-11-20,179
"247","Matthew Taberner","Fremantle Dockers",1993-06-17,198
"248","Leno Thomas","Fremantle Dockers",2001-05-12,181
"249","Josh Treacy","Fremantle Dockers",NA,NA
"250","Darcy Tucker","Fremantle Dockers",1997-01-23,184
"251","Luke Valente","Fremantle Dockers",2000-05-08,187
"252","Brandon Walker","Fremantle Dockers",2002-10-17,183
"253","Michael Walters","Fremantle Dockers",1991-01-07,178
"254","Tobe Watson","Fremantle Dockers",1997-12-03,190
"255","Joel Western","Fremantle Dockers",2002-10-12,171
"256","Nathan Wilson","Fremantle Dockers",1993-01-07,185
"257","Hayden Young","Fremantle Dockers",2001-04-11,188
"258","Ryan Angwin","GWS Giants",2002-12-12,184
"259","Lachlan Ash","GWS Giants",2001-06-21,186
"260","Kieren Briggs","GWS Giants",1999-10-06,200
"261","Callum Brown","GWS Giants",2000-08-15,188
"262","Tanner Bruhn","GWS Giants",2002-05-27,183
"263","Jack Buckley","GWS Giants",1997-12-17,193
"264","Matthew Buntine","GWS Giants",1993-10-19,189
"265","Stephen Coniglio","GWS Giants",1993-12-15,182
"266","Aidan Corr","GWS Giants",1994-05-17,195
"267","Isaac Cumming","GWS Giants",1998-08-11,184
"268","Brent Daniels","GWS Giants",1999-03-09,170
"269","Phil Davis","GWS Giants",1990-08-30,197
"270","Boer, Matthew De","GWS Giants",1990-03-10,189
"271","Jeremy Finlayson","GWS Giants",1996-02-09,196
"272","Cameron Fleeton","GWS Giants",2002-06-17,192
"273","Matthew Flynn","GWS Giants",1997-09-13,200
"274","Tom Green","GWS Giants",2001-01-23,188
"275","Toby Greene","GWS Giants",1993-09-25,182
"276","Jackson Hately","GWS Giants",2000-10-21,190
"277","Nick Haynes","GWS Giants",1992-05-18,193
"278","Ian Hill","GWS Giants",2000-02-09,175
"279","Harrison Himmelberg","GWS Giants",1996-05-08,194
"280","Jesse Hogan","GWS Giants",1995-02-12,195
"281","Jacob Hopper","GWS Giants",1997-02-06,187
"282","Thomas Hutchesson","GWS Giants",1995-04-04,177
"283","Connor Idun","GWS Giants",2000-07-29,191
"284","Lachlan Keeffe","GWS Giants",1990-04-14,204
"285","Joshua Kelly","GWS Giants",1995-02-12,184
"286","Adam Kennedy","GWS Giants",1992-07-12,182
"287","Daniel Lloyd","GWS Giants",1992-02-18,187
"288","Shane Mumford","GWS Giants",1986-07-05,198
"289","Xavier O'Halloran","GWS Giants",2000-07-11,186
"290","Harry Perryman","GWS Giants",1998-12-19,184
"291","Braydon Preuss","GWS Giants",1995-06-16,206
"292","Samuel Reid","GWS Giants",1989-11-07,188
"293","Jake Riccardi","GWS Giants",1999-11-07,195
"294","Will Shaw","GWS Giants",NA,180
"295","Nicholas Shipley","GWS Giants",1999-06-25,188
"296","Zachary Sproule","GWS Giants",1998-05-12,197
"297","Jake Stein","GWS Giants",1994-01-17,195
"298","Conor Stone","GWS Giants",2002-04-22,188
"299","Tim Taranto","GWS Giants",1998-01-28,187
"300","Sam Taylor","GWS Giants",1999-05-05,196
"301","Callan Ward","GWS Giants",1990-04-10,187
"302","Jacob Wehr","GWS Giants",1998-07-05,184
"303","Lachie Whitfield","GWS Giants",1994-07-18,187
"304","Tom Atkins","Geelong Cats",1995-09-18,180
"305","Jed Bews","Geelong Cats",1993-12-14,186
"306","Mark Blicavs","Geelong Cats",1991-03-28,198
"307","Oscar Brownless","Geelong Cats",2000-02-16,186
"308","Jeremy Cameron","Geelong Cats",1993-04-01,196
"309","Jordan Clark","Geelong Cats",2000-10-16,185
"310","Bradley Close","Geelong Cats",1998-07-30,181
"311","Charlie Constable","Geelong Cats",1999-05-18,191
"312","Luke Dahlhaus","Geelong Cats",1992-08-21,179
"313","Patrick Dangerfield","Geelong Cats",1990-04-05,189
"314","Koning, Sam De","Geelong Cats",2001-02-26,200
"315","Mitchell Duncan","Geelong Cats",1991-06-10,188
"316","Francis Evans","Geelong Cats",2001-08-23,182
"317","Darcy Fort","Geelong Cats",1993-08-06,204
"318","Cameron Guthrie","Geelong Cats",1992-08-19,187
"319","Zach Guthrie","Geelong Cats",1998-06-30,187
"320","Tom Hawkins","Geelong Cats",1988-07-21,198
"321","Lachlan Henderson","Geelong Cats",1989-12-14,196
"322","Jack Henry","Geelong Cats",1998-08-29,191
"323","Shaun Higgins","Geelong Cats",1988-03-04,184
"324","Max Holmes","Geelong Cats",2002-08-29,189
"325","Ben Jarvis","Geelong Cats",2000-07-27,189
"326","Josh Jenkins","Geelong Cats",1989-02-08,200
"327","Jake Kolodjashnij","Geelong Cats",1995-08-09,193
"328","Nathan Kreuger","Geelong Cats",1999-06-25,196
"329","Sam Menegola","Geelong Cats",1992-03-07,189
"330","Gryan Miers","Geelong Cats",1999-03-30,178
"331","Quinton Narkle","Geelong Cats",1997-12-03,181
"332","Shannon Neale","Geelong Cats",2002-07-25,202
"333","Mark O'Connor","Geelong Cats",1997-01-17,191
"334","Stefan Okunbor","Geelong Cats",1998-08-12,190
"335","Brandan Parfitt","Geelong Cats",1998-04-27,180
"336","Esava Ratugolea","Geelong Cats",1998-07-24,197
"337","Gary Rohan","Geelong Cats",1991-06-07,189
"338","Blake Schlensog","Geelong Cats",2000-09-25,198
"339","Joel Selwood","Geelong Cats",1988-05-26,183
"340","Sam Simpson","Geelong Cats",1998-06-14,180
"341","Rhys Stanley","Geelong Cats",1990-12-01,200
"342","Cooper Stephens","Geelong Cats",2001-01-17,188
"343","Nick Stevens","Geelong Cats",2002-03-23,192
"344","Thomas Stewart","Geelong Cats",1993-03-15,190
"345","Cameron Taheny","Geelong Cats",2001-08-03,185
"346","Paul Tsapatolis","Geelong Cats",NA,NA
"347","Zach Tuohy","Geelong Cats",1989-12-10,187
"348","Ben Ainsworth","Gold Coast Suns",1998-02-10,178
"349","Noah Anderson","Gold Coast Suns",2001-02-17,188
