"","player_name","web_scraped_team","dob","height"
"1","Bruce Abernethy","Adelaide",1962-05-10,185
"2","Greg Anderson","Adelaide",1966-05-14,188
"3","Rowan Andrews","Adelaide",1985-05-11,197
"4","Rhys Archard","Adelaide",1983-04-15,178
"5","Tony Armstrong","Adelaide",1989-09-29,183
"6","Brodie Atkinson","Adelaide",1972-07-31,177
"7","Allan Bartlett","Adelaide",1967-05-23,188
"8","Nathan Bassett","Adelaide",1976-12-07,190
"9","James Battersby","Adelaide",1995-11-07,177
"10","Jonathon Beech","Adelaide",1990-11-09,188
"11","James Begley","Adelaide",1980-07-22,189
"12","Bryan Beinke","Adelaide",1975-08-05,185
"13","Mark Bickley","Adelaide",1969-08-04,178
"14","Rhett Biglands","Adelaide",1977-09-04,200
"15","Nathan Bock","Adelaide",1983-03-20,193
"16","Matthew Bode","Adelaide",1979-06-29,178
"17","Adrian Bonaddio","Adelaide",1986-05-26,196
"18","Troy Bond","Adelaide",1973-07-14,179
"19","Randall Bone","Adelaide",1973-11-13,194
"20","Stuart Bown","Adelaide",1978-08-24,191
"21","Ronnie Burns","Adelaide",1973-03-13,183
"22","Brett Burton","Adelaide",1978-05-04,185
"23","James Byrne","Adelaide",1978-04-23,183
"24","Ian Callinan","Adelaide",1982-12-20,172
"25","Bryce Campbell","Adelaide",1984-09-07,181
"26","Wayne Carey","Adelaide",1971-05-27,192
"27","Peter Caven","Adelaide",1970-05-16,190
"28","Brett Chalmers","Adelaide",1973-04-23,195
"29","Kyle Cheney","Adelaide",1989-08-25,186
"30","Justin Cicolella","Adelaide",1978-09-12,178
"31","Matthew Clarke","Adelaide",1973-09-18,200
"32","Matthew Collins","Adelaide",1977-02-02,186
"33","Matthew Connell","Adelaide",1972-08-03,181
"34","Myke Cook","Adelaide",1989-10-09,184
"35","Sudjai Cook","Adelaide",1976-06-27,176
"36","Tim Cook","Adelaide",1974-02-20,176
"37","James Craig","Adelaide",1991-04-18,196
"38","Ben Crocker","Adelaide",1997-02-19,188
"39","Andrew Crowell","Adelaide",1977-08-15,189
"40","Harry Dear","Adelaide",1996-08-18,197
"41","Brian Donnelly","Adelaide",1988-07-21,191
